"","species","sex","body_mass_g"
"1","Adelie Penguin (Pygoscelis adeliae)","MALE",3750
"2","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3800
"3","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3250
"4","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"5","Adelie Penguin (Pygoscelis adeliae)","MALE",3650
"6","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3625
"7","Adelie Penguin (Pygoscelis adeliae)","MALE",4675
"8","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3200
"9","Adelie Penguin (Pygoscelis adeliae)","MALE",3800
"10","Adelie Penguin (Pygoscelis adeliae)","MALE",4400
"11","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
"12","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"13","Adelie Penguin (Pygoscelis adeliae)","MALE",4500
"14","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3325
"15","Adelie Penguin (Pygoscelis adeliae)","MALE",4200
"16","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3400
"17","Adelie Penguin (Pygoscelis adeliae)","MALE",3600
"18","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3800
"19","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"20","Adelie Penguin (Pygoscelis adeliae)","MALE",3800
"21","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3800
"22","Adelie Penguin (Pygoscelis adeliae)","MALE",3550
"23","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3200
"24","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3150
"25","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"26","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3250
"27","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"28","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3300
"29","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"30","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3325
"31","Adelie Penguin (Pygoscelis adeliae)","MALE",4150
"32","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"33","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"34","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3300
"35","Adelie Penguin (Pygoscelis adeliae)","MALE",4650
"36","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3150
"37","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"38","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3100
"39","Adelie Penguin (Pygoscelis adeliae)","MALE",4400
"40","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3000
"41","Adelie Penguin (Pygoscelis adeliae)","MALE",4600
"42","Adelie Penguin (Pygoscelis adeliae)","MALE",3425
"43","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"44","Adelie Penguin (Pygoscelis adeliae)","MALE",4150
"45","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3500
"46","Adelie Penguin (Pygoscelis adeliae)","MALE",4300
"47","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"48","Adelie Penguin (Pygoscelis adeliae)","MALE",4050
"49","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2900
"50","Adelie Penguin (Pygoscelis adeliae)","MALE",3700
"51","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"52","Adelie Penguin (Pygoscelis adeliae)","MALE",3800
"53","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2850
"54","Adelie Penguin (Pygoscelis adeliae)","MALE",3750
"55","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3150
"56","Adelie Penguin (Pygoscelis adeliae)","MALE",4400
"57","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3600
"58","Adelie Penguin (Pygoscelis adeliae)","MALE",4050
"59","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2850
"60","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"61","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3350
"62","Adelie Penguin (Pygoscelis adeliae)","MALE",4100
"63","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3050
"64","Adelie Penguin (Pygoscelis adeliae)","MALE",4450
"65","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3600
"66","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"67","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"68","Adelie Penguin (Pygoscelis adeliae)","MALE",4150
"69","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
"70","Adelie Penguin (Pygoscelis adeliae)","MALE",4250
"71","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
"72","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"73","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"74","Adelie Penguin (Pygoscelis adeliae)","MALE",4000
"75","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3200
"76","Adelie Penguin (Pygoscelis adeliae)","MALE",4700
"77","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3800
"78","Adelie Penguin (Pygoscelis adeliae)","MALE",4200
"79","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3350
"80","Adelie Penguin (Pygoscelis adeliae)","MALE",3550
"81","Adelie Penguin (Pygoscelis adeliae)","MALE",3800
"82","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3500
"83","Adelie Penguin (Pygoscelis adeliae)","MALE",3950
"84","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3600
"85","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3550
"86","Adelie Penguin (Pygoscelis adeliae)","MALE",4300
"87","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3400
"88","Adelie Penguin (Pygoscelis adeliae)","MALE",4450
"89","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3300
"90","Adelie Penguin (Pygoscelis adeliae)","MALE",4300
"91","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
"92","Adelie Penguin (Pygoscelis adeliae)","MALE",4350
"93","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2900
"94","Adelie Penguin (Pygoscelis adeliae)","MALE",4100
"95","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3725
"96","Adelie Penguin (Pygoscelis adeliae)","MALE",4725
"97","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3075
"98","Adelie Penguin (Pygoscelis adeliae)","MALE",4250
"99","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2925
"100","Adelie Penguin (Pygoscelis adeliae)","MALE",3550
"101","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3750
"102","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"103","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3175
"104","Adelie Penguin (Pygoscelis adeliae)","MALE",4775
"105","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3825
"106","Adelie Penguin (Pygoscelis adeliae)","MALE",4600
"107","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3200
"108","Adelie Penguin (Pygoscelis adeliae)","MALE",4275
"109","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3900
"110","Adelie Penguin (Pygoscelis adeliae)","MALE",4075
"111","Adelie Penguin (Pygoscelis adeliae)","FEMALE",2900
"112","Adelie Penguin (Pygoscelis adeliae)","MALE",3775
"113","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3350
"114","Adelie Penguin (Pygoscelis adeliae)","MALE",3325
"115","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3150
"116","Adelie Penguin (Pygoscelis adeliae)","MALE",3500
"117","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"118","Adelie Penguin (Pygoscelis adeliae)","MALE",3875
"119","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3050
"120","Adelie Penguin (Pygoscelis adeliae)","MALE",4000
"121","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3275
"122","Adelie Penguin (Pygoscelis adeliae)","MALE",4300
"123","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3050
"124","Adelie Penguin (Pygoscelis adeliae)","MALE",4000
"125","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3325
"126","Adelie Penguin (Pygoscelis adeliae)","MALE",3500
"127","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3500
"128","Adelie Penguin (Pygoscelis adeliae)","MALE",4475
"129","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3425
"130","Adelie Penguin (Pygoscelis adeliae)","MALE",3900
"131","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3175
"132","Adelie Penguin (Pygoscelis adeliae)","MALE",3975
"133","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3400
"134","Adelie Penguin (Pygoscelis adeliae)","MALE",4250
"135","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3400
"136","Adelie Penguin (Pygoscelis adeliae)","MALE",3475
"137","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3050
"138","Adelie Penguin (Pygoscelis adeliae)","MALE",3725
"139","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3000
"140","Adelie Penguin (Pygoscelis adeliae)","MALE",3650
"141","Adelie Penguin (Pygoscelis adeliae)","MALE",4250
"142","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3475
"143","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3450
"144","Adelie Penguin (Pygoscelis adeliae)","MALE",3750
"145","Adelie Penguin (Pygoscelis adeliae)","FEMALE",3700
"146","Adelie Penguin (Pygoscelis adeliae)","MALE",4000
"147","Gentoo penguin (Pygoscelis papua)","FEMALE",4500
"148","Gentoo penguin (Pygoscelis papua)","MALE",5700
"149","Gentoo penguin (Pygoscelis papua)","FEMALE",4450
"150","Gentoo penguin (Pygoscelis papua)","MALE",5700
"151","Gentoo penguin (Pygoscelis papua)","MALE",5400
"152","Gentoo penguin (Pygoscelis papua)","FEMALE",4550
"153","Gentoo penguin (Pygoscelis papua)","FEMALE",4800
"154","Gentoo penguin (Pygoscelis papua)","MALE",5200
"155","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"156","Gentoo penguin (Pygoscelis papua)","MALE",5150
"157","Gentoo penguin (Pygoscelis papua)","FEMALE",4650
"158","Gentoo penguin (Pygoscelis papua)","MALE",5550
"159","Gentoo penguin (Pygoscelis papua)","FEMALE",4650
"160","Gentoo penguin (Pygoscelis papua)","MALE",5850
"161","Gentoo penguin (Pygoscelis papua)","FEMALE",4200
"162","Gentoo penguin (Pygoscelis papua)","MALE",5850
"163","Gentoo penguin (Pygoscelis papua)","FEMALE",4150
"164","Gentoo penguin (Pygoscelis papua)","MALE",6300
"165","Gentoo penguin (Pygoscelis papua)","FEMALE",4800
"166","Gentoo penguin (Pygoscelis papua)","MALE",5350
"167","Gentoo penguin (Pygoscelis papua)","MALE",5700
"168","Gentoo penguin (Pygoscelis papua)","FEMALE",5000
"169","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"170","Gentoo penguin (Pygoscelis papua)","MALE",5050
"171","Gentoo penguin (Pygoscelis papua)","FEMALE",5000
"172","Gentoo penguin (Pygoscelis papua)","MALE",5100
"173","Gentoo penguin (Pygoscelis papua)","MALE",5650
"174","Gentoo penguin (Pygoscelis papua)","FEMALE",4600
"175","Gentoo penguin (Pygoscelis papua)","MALE",5550
"176","Gentoo penguin (Pygoscelis papua)","MALE",5250
"177","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"178","Gentoo penguin (Pygoscelis papua)","FEMALE",5050
"179","Gentoo penguin (Pygoscelis papua)","MALE",6050
"180","Gentoo penguin (Pygoscelis papua)","FEMALE",5150
"181","Gentoo penguin (Pygoscelis papua)","MALE",5400
"182","Gentoo penguin (Pygoscelis papua)","FEMALE",4950
"183","Gentoo penguin (Pygoscelis papua)","MALE",5250
"184","Gentoo penguin (Pygoscelis papua)","FEMALE",4350
"185","Gentoo penguin (Pygoscelis papua)","MALE",5350
"186","Gentoo penguin (Pygoscelis papua)","FEMALE",3950
"187","Gentoo penguin (Pygoscelis papua)","MALE",5700
"188","Gentoo penguin (Pygoscelis papua)","FEMALE",4300
"189","Gentoo penguin (Pygoscelis papua)","MALE",4750
"190","Gentoo penguin (Pygoscelis papua)","MALE",5550
"191","Gentoo penguin (Pygoscelis papua)","FEMALE",4900
"192","Gentoo penguin (Pygoscelis papua)","FEMALE",4200
"193","Gentoo penguin (Pygoscelis papua)","MALE",5400
"194","Gentoo penguin (Pygoscelis papua)","FEMALE",5100
"195","Gentoo penguin (Pygoscelis papua)","MALE",5300
"196","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"197","Gentoo penguin (Pygoscelis papua)","MALE",5300
"198","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"199","Gentoo penguin (Pygoscelis papua)","MALE",5000
"200","Gentoo penguin (Pygoscelis papua)","FEMALE",4900
"201","Gentoo penguin (Pygoscelis papua)","MALE",5050
"202","Gentoo penguin (Pygoscelis papua)","FEMALE",4300
"203","Gentoo penguin (Pygoscelis papua)","MALE",5000
"204","Gentoo penguin (Pygoscelis papua)","FEMALE",4450
"205","Gentoo penguin (Pygoscelis papua)","MALE",5550
"206","Gentoo penguin (Pygoscelis papua)","FEMALE",4200
"207","Gentoo penguin (Pygoscelis papua)","MALE",5300
"208","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"209","Gentoo penguin (Pygoscelis papua)","MALE",5650
"210","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"211","Gentoo penguin (Pygoscelis papua)","MALE",5700
"212","Gentoo penguin (Pygoscelis papua)","MALE",5800
"213","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"214","Gentoo penguin (Pygoscelis papua)","MALE",5550
"215","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"216","Gentoo penguin (Pygoscelis papua)","MALE",5000
"217","Gentoo penguin (Pygoscelis papua)","MALE",5100
"218","Gentoo penguin (Pygoscelis papua)","FEMALE",5200
"219","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"220","Gentoo penguin (Pygoscelis papua)","MALE",5800
"221","Gentoo penguin (Pygoscelis papua)","FEMALE",4600
"222","Gentoo penguin (Pygoscelis papua)","MALE",6000
"223","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"224","Gentoo penguin (Pygoscelis papua)","MALE",5950
"225","Gentoo penguin (Pygoscelis papua)","FEMALE",4625
"226","Gentoo penguin (Pygoscelis papua)","MALE",5450
"227","Gentoo penguin (Pygoscelis papua)","FEMALE",4725
"228","Gentoo penguin (Pygoscelis papua)","MALE",5350
"229","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"230","Gentoo penguin (Pygoscelis papua)","MALE",5600
"231","Gentoo penguin (Pygoscelis papua)","FEMALE",4600
"232","Gentoo penguin (Pygoscelis papua)","MALE",5300
"233","Gentoo penguin (Pygoscelis papua)","FEMALE",4875
"234","Gentoo penguin (Pygoscelis papua)","MALE",5550
"235","Gentoo penguin (Pygoscelis papua)","FEMALE",4950
"236","Gentoo penguin (Pygoscelis papua)","MALE",5400
"237","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"238","Gentoo penguin (Pygoscelis papua)","MALE",5650
"239","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"240","Gentoo penguin (Pygoscelis papua)","MALE",5200
"241","Gentoo penguin (Pygoscelis papua)","MALE",4925
"242","Gentoo penguin (Pygoscelis papua)","FEMALE",4875
"243","Gentoo penguin (Pygoscelis papua)","FEMALE",4625
"244","Gentoo penguin (Pygoscelis papua)","MALE",5250
"245","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"246","Gentoo penguin (Pygoscelis papua)","MALE",5600
"247","Gentoo penguin (Pygoscelis papua)","FEMALE",4975
"248","Gentoo penguin (Pygoscelis papua)","MALE",5500
"249","Gentoo penguin (Pygoscelis papua)","MALE",5500
"250","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"251","Gentoo penguin (Pygoscelis papua)","MALE",5500
"252","Gentoo penguin (Pygoscelis papua)","FEMALE",4575
"253","Gentoo penguin (Pygoscelis papua)","MALE",5500
"254","Gentoo penguin (Pygoscelis papua)","FEMALE",5000
"255","Gentoo penguin (Pygoscelis papua)","MALE",5950
"256","Gentoo penguin (Pygoscelis papua)","FEMALE",4650
"257","Gentoo penguin (Pygoscelis papua)","MALE",5500
"258","Gentoo penguin (Pygoscelis papua)","FEMALE",4375
"259","Gentoo penguin (Pygoscelis papua)","MALE",5850
"260","Gentoo penguin (Pygoscelis papua)","MALE",6000
"261","Gentoo penguin (Pygoscelis papua)","FEMALE",4925
"262","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"263","Gentoo penguin (Pygoscelis papua)","MALE",5750
"264","Gentoo penguin (Pygoscelis papua)","FEMALE",5200
"265","Gentoo penguin (Pygoscelis papua)","MALE",5400
"266","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3500
"267","Chinstrap penguin (Pygoscelis antarctica)","MALE",3900
"268","Chinstrap penguin (Pygoscelis antarctica)","MALE",3650
"269","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3525
"270","Chinstrap penguin (Pygoscelis antarctica)","MALE",3725
"271","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3950
"272","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3250
"273","Chinstrap penguin (Pygoscelis antarctica)","MALE",3750
"274","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",4150
"275","Chinstrap penguin (Pygoscelis antarctica)","MALE",3700
"276","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3800
"277","Chinstrap penguin (Pygoscelis antarctica)","MALE",3775
"278","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3700
"279","Chinstrap penguin (Pygoscelis antarctica)","MALE",4050
"280","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3575
"281","Chinstrap penguin (Pygoscelis antarctica)","MALE",4050
"282","Chinstrap penguin (Pygoscelis antarctica)","MALE",3300
"283","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3700
"284","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3450
"285","Chinstrap penguin (Pygoscelis antarctica)","MALE",4400
"286","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3600
"287","Chinstrap penguin (Pygoscelis antarctica)","MALE",3400
"288","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",2900
"289","Chinstrap penguin (Pygoscelis antarctica)","MALE",3800
"290","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3300
"291","Chinstrap penguin (Pygoscelis antarctica)","MALE",4150
"292","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3400
"293","Chinstrap penguin (Pygoscelis antarctica)","MALE",3800
"294","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3700
"295","Chinstrap penguin (Pygoscelis antarctica)","MALE",4550
"296","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3200
"297","Chinstrap penguin (Pygoscelis antarctica)","MALE",4300
"298","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3350
"299","Chinstrap penguin (Pygoscelis antarctica)","MALE",4100
"300","Chinstrap penguin (Pygoscelis antarctica)","MALE",3600
"301","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3900
"302","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3850
"303","Chinstrap penguin (Pygoscelis antarctica)","MALE",4800
"304","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",2700
"305","Chinstrap penguin (Pygoscelis antarctica)","MALE",4500
"306","Chinstrap penguin (Pygoscelis antarctica)","MALE",3950
"307","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3650
"308","Chinstrap penguin (Pygoscelis antarctica)","MALE",3550
"309","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3500
"310","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3675
"311","Chinstrap penguin (Pygoscelis antarctica)","MALE",4450
"312","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3400
"313","Chinstrap penguin (Pygoscelis antarctica)","MALE",4300
"314","Chinstrap penguin (Pygoscelis antarctica)","MALE",3250
"315","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3675
"316","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3325
"317","Chinstrap penguin (Pygoscelis antarctica)","MALE",3950
"318","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3600
"319","Chinstrap penguin (Pygoscelis antarctica)","MALE",4050
"320","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3350
"321","Chinstrap penguin (Pygoscelis antarctica)","MALE",3450
"322","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3250
"323","Chinstrap penguin (Pygoscelis antarctica)","MALE",4050
"324","Chinstrap penguin (Pygoscelis antarctica)","MALE",3800
"325","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3525
"326","Chinstrap penguin (Pygoscelis antarctica)","MALE",3950
"327","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3650
"328","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3650
"329","Chinstrap penguin (Pygoscelis antarctica)","MALE",4000
"330","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3400
"331","Chinstrap penguin (Pygoscelis antarctica)","MALE",3775
"332","Chinstrap penguin (Pygoscelis antarctica)","MALE",4100
"333","Chinstrap penguin (Pygoscelis antarctica)","FEMALE",3775
